lat,lng,depth
-26.351154,153.073413,11.37
-26.349800,153.073412,11.67
-26.347994,153.073411,12.00
-26.346414,153.073410,12.36
-26.344834,153.073409,12.71
-26.343028,153.073408,13.17
-26.341448,153.073407,13.59
-26.339868,153.073406,13.95
-26.338287,153.073405,14.35
-26.336482,153.073404,14.71
-26.334901,153.073403,15.02
-26.333321,153.073402,15.30
-26.331741,153.073401,15.62
-26.330387,153.073400,15.67
-26.328581,153.073399,15.86
-26.326775,153.073397,16.12
-26.325195,153.073396,16.29
-26.323840,153.073396,16.42
-26.322034,153.073394,16.46
-26.320906,153.073394,16.52
-26.319777,153.073393,16.56
-26.317294,153.073391,16.61
-26.316843,153.073391,16.61
-26.314134,153.073389,16.68
-26.313682,153.073389,16.64
-26.310522,153.073387,16.72
-26.310296,153.073387,16.71
-26.308716,153.073386,16.57
-26.306684,153.073385,16.46
-26.305556,153.073384,16.36
-26.303750,153.073383,16.22
-26.302170,153.073382,16.06
-26.300590,153.073381,15.90
-26.299009,153.073380,15.76
-26.297203,153.073379,15.69
-26.295849,153.073378,15.55
-26.294043,153.073377,15.29
-26.292463,153.073376,15.06
-26.290657,153.073375,14.77
-26.289303,153.073374,14.54
-26.287497,153.073373,13.97
-26.284788,153.073371,13.93
-26.283885,153.073370,13.46
-26.282305,153.073369,12.97
-26.280950,153.073369,12.54
-26.279370,153.073368,11.94
-26.277113,153.073366,11.70
-26.275307,153.073365,11.00
-26.273727,153.073364,11.14
-26.272147,153.073363,10.65
-26.271469,153.073363,9.95
-26.268761,153.073361,9.89
-26.266955,153.073360,9.45
-26.266503,153.073359,9.08
-26.264472,153.073358,7.30
-26.262440,153.073357,7.70
-26.261537,153.073356,6.24
-26.259957,153.073355,4.70
-26.257925,153.073354,4.15
-26.256571,153.072352,3.77
-26.253862,153.072851,3.90
-26.252959,153.073101,3.70
-26.251830,153.073350,3.85
-26.250250,153.073349,2.38
-26.248444,153.073098,1.16
-26.246864,153.073347,1.21
-26.245284,153.073346,-0.30
-26.425872,153.075215,-1.12
-26.424517,153.074963,-1.14
-26.424066,153.075214,-1.07
-26.421809,153.073708,-0.89
-26.418197,153.074709,-1.13
-26.417294,153.074708,-1.07
-26.414811,153.073954,-0.88
-26.410748,153.073701,-1.08
-26.407361,153.075203,-0.52
-26.405330,153.075202,0.68
-26.403524,153.074950,-0.52
-26.401718,153.075199,-0.35
-26.401267,153.075199,-0.44
-26.398333,153.073693,-1.05
-26.397881,153.073693,-1.08
-26.395623,153.074694,0.57
-26.393367,153.073690,1.31
-26.393141,153.073690,2.21
-26.391560,153.075193,1.09
-26.388626,153.074940,1.04
-26.387045,153.075190,3.24
-26.386820,153.075190,3.19
-26.385239,153.075189,0.14
-26.383434,153.075188,-1.15
-26.381177,153.073933,-1.14
-26.380048,153.074183,-1.13
-26.378694,153.073931,-1.07
-26.374178,153.075182,-0.51
-26.372373,153.075180,1.40
-26.370792,153.075179,3.73
-26.368987,153.075178,6.03
-26.367406,153.075177,7.34
-26.365826,153.075176,8.39
-26.364246,153.075175,9.33
-26.362666,153.075174,9.95
-26.361086,153.075173,10.32
-26.359280,153.075172,10.75
-26.357700,153.075171,11.07
-26.356571,153.075170,11.38
-26.354540,153.075169,11.72
-26.352734,153.075168,12.33
-26.351154,153.075167,12.38
-26.349573,153.075166,12.78
-26.347993,153.075165,13.12
-26.346413,153.075164,13.52
-26.344833,153.075163,13.92
-26.343027,153.075161,14.25
-26.341447,153.075160,14.62
-26.339867,153.075159,14.99
-26.338287,153.075158,15.42
-26.336481,153.075157,15.76
-26.334901,153.075156,16.02
-26.333320,153.075155,16.28
-26.331740,153.075154,16.56
-26.330160,153.075153,16.73
-26.328580,153.075152,16.90
-26.326774,153.075151,17.11
-26.325420,153.075150,17.28
-26.323614,153.075149,17.51
-26.322034,153.075148,17.64
-26.320228,153.075147,17.67
-26.319776,153.075146,17.74
-26.317745,153.075145,17.71
-26.316842,153.075145,17.75
-26.313907,153.075143,17.80
-26.313456,153.075142,17.89
-26.311875,153.075141,17.92
-26.308941,153.075139,17.99
-26.308038,153.075139,17.98
-26.306909,153.075138,17.97
-26.305103,153.075137,17.90
-26.303749,153.075136,17.90
-26.301717,153.075135,17.78
-26.300589,153.075134,17.75
-26.297880,153.075132,17.74
-26.297428,153.075132,17.69
-26.295171,153.075131,17.64
-26.294042,153.075130,17.48
-26.292462,153.075129,17.33
-26.290882,153.075128,17.17
-26.289302,153.075127,16.93
-26.287270,153.075125,16.64
-26.285916,153.075125,16.33
-26.284336,153.075124,15.85
-26.282530,153.075122,15.40
-26.281175,153.075122,15.47
-26.279369,153.075120,14.97
-26.277112,153.075119,14.54
-26.275532,153.075118,14.27
-26.273274,153.075116,13.94
-26.273049,153.075116,13.69
-26.270114,153.075114,12.58
-26.269437,153.075114,12.52
-26.267631,153.075113,11.77
-26.266502,153.075112,11.28
-26.264019,153.075110,10.51
-26.263116,153.075110,10.18
-26.261536,153.075109,9.47
-26.259730,153.075108,9.68
-26.257698,153.075106,8.61
-26.256118,153.075105,8.03
-26.254764,153.075105,7.54
-26.253409,153.075104,6.24
-26.251829,153.075103,4.49
-26.250024,153.073850,4.29
-26.248218,153.074099,3.94
-26.246186,153.074598,4.25
-26.245283,153.074848,4.19
-26.243477,153.075097,3.11
-26.242123,153.075096,1.68
-26.240317,153.075095,1.63
-26.238962,153.075094,1.17
-26.236028,153.075092,0.03
-26.235576,153.075092,-0.11
-26.458602,153.076992,-0.82
-26.458150,153.076992,-0.94
-26.425871,153.076218,-1.14
-26.425646,153.075716,-1.15
-26.423614,153.075966,0.08
-26.407587,153.075454,-0.53
-26.404878,153.075452,-0.32
-26.403298,153.075702,-0.35
-26.402169,153.075450,0.10
-26.400815,153.075700,-0.53
-26.398557,153.075949,-1.00
-26.397880,153.075698,-1.09
-26.390657,153.075443,0.19
-26.388625,153.075442,0.84
-26.387948,153.075942,2.23
-26.386368,153.075440,2.53
-26.385013,153.075690,1.86
-26.383433,153.076942,1.33
-26.381627,153.076439,-1.09
-26.379596,153.075686,-1.12
-26.377338,153.076938,-1.02
-26.375532,153.076937,0.70
-26.373952,153.076936,2.31
-26.372372,153.076935,4.86
-26.370792,153.076934,7.01
-26.368986,153.076932,8.21
-26.367405,153.076931,9.21
-26.365825,153.076930,9.89
-26.364245,153.076929,10.78
-26.363342,153.076929,11.28
-26.361085,153.076927,11.41
-26.359279,153.076926,11.65
-26.357699,153.076925,11.85
-26.356119,153.076924,12.22
-26.354539,153.076923,12.60
-26.352733,153.076922,12.82
-26.351153,153.076921,13.22
-26.349572,153.076920,13.69
-26.348444,153.076919,14.04
-26.346412,153.076917,14.40
-26.344832,153.076916,14.80
-26.343026,153.076915,15.24
-26.341446,153.076914,15.69
-26.339866,153.076913,16.01
-26.338511,153.076912,16.28
-26.336480,153.076660,16.58
-26.334900,153.076910,16.83
-26.333319,153.076909,17.10
-26.332191,153.076908,17.31
-26.330159,153.076907,17.44
-26.328805,153.076906,17.59
-26.326773,153.076904,17.80
-26.325193,153.076903,18.02
-26.323613,153.076902,18.14
-26.322033,153.076901,18.31
-26.320227,153.076900,18.44
-26.318872,153.076899,18.48
-26.317066,153.076898,18.54
-26.315938,153.076897,18.61
-26.314583,153.076896,18.63
-26.312326,153.076895,18.81
-26.310746,153.076894,18.87
-26.308940,153.076893,18.90
-26.307811,153.076892,18.96
-26.306005,153.076891,19.02
-26.303974,153.076889,18.93
-26.302394,153.076888,18.97
-26.302168,153.076888,19.01
-26.299233,153.076886,18.98
-26.298105,153.076886,19.01
-26.297427,153.076885,19.02
-26.294493,153.076883,19.00
-26.294041,153.076883,18.99
-26.292461,153.076882,19.06
-26.290881,153.076881,18.91
-26.289301,153.076880,18.83
-26.287043,153.076878,18.73
-26.285915,153.076877,18.59
-26.284335,153.076876,18.24
-26.282754,153.076875,18.03
-26.281174,153.076874,17.96
-26.279143,153.076873,17.54
-26.276434,153.076871,16.72
-26.275531,153.076871,16.87
-26.273951,153.076870,16.24
-26.272822,153.076869,16.05
-26.270113,153.076867,15.73
-26.269662,153.076867,15.21
-26.267404,153.076865,14.20
-26.265824,153.076864,13.76
-26.264695,153.076863,13.93
-26.261987,153.076862,13.24
-26.261535,153.076861,13.22
-26.259955,153.076860,11.84
-26.258149,153.076859,11.81
-26.256569,153.076858,11.21
-26.254537,153.076857,10.59
-26.253183,153.076856,9.58
-26.251377,153.076855,9.85
-26.249797,153.076854,9.15
-26.248668,153.076853,7.80
-26.245733,153.076851,6.64
-26.245282,153.076851,5.36
-26.243025,153.075347,4.13
-26.241671,153.075597,3.72
-26.238962,153.076096,4.04
-26.238059,153.076345,4.02
-26.236027,153.076845,4.01
-26.235575,153.076844,3.51
-26.233995,153.076843,1.77
-26.230835,153.076841,1.29
-26.230609,153.076841,0.80
-26.227674,153.076839,-1.07
-26.226997,153.076088,2.43
-26.467405,153.077499,-0.61
-26.462890,153.078249,-1.04
-26.458375,153.078747,-1.12
-26.424968,153.077220,-1.11
-26.423613,153.077219,-1.11
-26.387044,153.077195,0.76
-26.386818,153.077696,1.14
-26.383658,153.077193,1.36
-26.383207,153.077694,1.71
-26.381175,153.077692,1.32
-26.378917,153.078693,0.87
-26.377337,153.078442,1.39
-26.376660,153.078441,1.91
-26.373951,153.078690,5.53
-26.372371,153.078689,7.47
-26.370791,153.078688,8.44
-26.368985,153.078687,9.35
-26.367405,153.078685,9.92
-26.365824,153.078684,10.44
-26.364245,153.078182,11.14
-26.362665,153.077179,11.49
-26.360859,153.077679,11.79
-26.359278,153.078429,12.12
-26.357698,153.078178,12.26
-26.356118,153.078678,13.03
-26.354538,153.078677,13.31
-26.353635,153.078676,13.42
-26.351152,153.078674,13.88
-26.349571,153.078673,14.31
-26.347991,153.078672,14.78
-26.346411,153.078671,15.15
-26.344831,153.078670,15.55
-26.343025,153.078669,16.04
-26.341445,153.078668,16.55
-26.340091,153.078667,16.86
-26.338285,153.078666,16.81
-26.336705,153.078665,17.13
-26.334899,153.078663,17.48
-26.333319,153.078662,17.64
-26.331964,153.078661,17.79
-26.330158,153.078660,17.90
-26.328578,153.078659,18.16
-26.326998,153.078658,18.30
-26.325192,153.078657,18.51
-26.324063,153.078656,18.69
-26.322032,153.078655,18.77
-26.320226,153.078654,18.92
-26.318871,153.078653,19.03
-26.317743,153.078652,19.04
-26.315937,153.078651,19.11
-26.313905,153.078649,19.19
-26.312325,153.078648,19.27
-26.310519,153.078647,19.36
-26.308939,153.078646,19.44
-26.308488,153.078646,19.43
-26.305779,153.078644,19.53
-26.303973,153.078643,19.55
-26.302393,153.078641,19.64
-26.300812,153.078640,19.72
-26.299458,153.078640,19.72
-26.298555,153.078639,19.76
-26.296072,153.078637,19.89
-26.294492,153.078636,19.83
-26.292912,153.078635,19.91
-26.291332,153.078634,19.98
-26.289977,153.078633,19.99
-26.289074,153.078633,19.97
-26.287043,153.078631,20.02
-26.284559,153.078629,19.97
-26.284334,153.078379,19.92
-26.282302,153.078378,19.66
-26.280270,153.078627,19.58
-26.278690,153.078626,19.22
-26.277787,153.078625,18.84
-26.275530,153.078623,19.30
-26.274627,153.078623,18.39
-26.273047,153.078622,18.62
-26.270789,153.078620,18.70
-26.269661,153.078619,17.46
-26.266952,153.078618,16.81
-26.265146,153.078616,17.36
-26.264920,153.078616,16.88
-26.262437,153.078615,16.20
